date,Value
2007/3/30,13067
2007/4/2,13066
2007/4/3,13063
2007/4/4,13063
2007/4/5,13063
2007/4/6,13066
2007/4/9,13066
2007/4/10,13057
2007/4/11,13050
2007/4/12,13048
2007/4/13,13039
2007/4/16,13032
2007/4/17,13022
2007/4/18,13008
2007/4/19,13001
2007/4/20,12992
2007/4/23,12976
2007/4/24,12975
2007/4/25,12977
2007/4/26,12977
2007/4/27,12973
2007/4/28,12973
2007/4/29,12977
2007/4/30,12978
2007/5/8,12979
2007/5/9,12966
2007/5/10,12956
2007/5/11,12955
2007/5/14,12948
2007/5/15,12948
2007/5/16,12949
2007/5/17,12950
2007/5/18,12951
2007/5/21,12952
2007/5/22,12958
2007/5/23,12970
2007/5/24,12972
2007/5/25,12989
2007/5/28,12998
2007/5/29,13003
2007/5/30,13009
2007/5/31,13026
2007/6/1,13050
2007/6/4,13067
2007/6/5,13085
2007/6/6,13091
2007/6/7,13104
2007/6/8,13111
2007/6/11,13122
2007/6/12,13148
2007/6/13,13288
2007/6/14,13298
2007/6/15,13338
2007/6/18,13380
2007/6/19,13477
2007/6/20,13542
2007/6/21,13555
2007/6/22,13622
2007/6/25,13674
2007/6/26,13692
2007/6/27,13738
2007/6/28,13757
2007/6/29,13781
2007/7/2,13791
2007/7/3,13805
2007/7/4,13852
2007/7/5,13887
2007/7/6,13937
2007/7/9,13979
2007/7/10,14009
2007/7/11,14046
2007/7/12,14093
2007/7/13,14125
2007/7/16,14176
2007/7/17,14200
2007/7/18,14246
2007/7/19,14311
2007/7/20,14339
2007/7/23,14383
2007/7/24,14445
2007/7/25,14476
2007/7/26,14487
2007/7/27,14479
2007/7/30,14474
2007/7/31,14500
2007/8/1,14527
2007/8/2,14553
2007/8/3,14545
2007/8/6,14541
2007/8/7,14523
2007/8/8,14522
2007/8/9,14501
2007/8/10,14496
2007/8/13,14480
2007/8/14,14476
2007/8/15,14469
2007/8/16,14465
2007/8/17,14468
2007/8/20,14453
2007/8/21,14437
2007/8/22,14411
2007/8/23,14401
2007/8/24,14358
2007/8/27,14314
2007/8/28,14296
2007/8/29,14289
2007/8/30,14283
2007/8/31,14273
2007/9/3,14267
2007/9/4,14243
2007/9/5,14232
2007/9/6,14139
2007/9/7,14111
2007/9/10,14067
2007/9/11,13967
2007/9/12,13935
2007/9/13,13899
2007/9/14,13838
2007/9/17,13767
2007/9/18,13638
2007/9/19,13599
2007/9/20,13530
2007/9/21,13455
2007/9/24,13369
2007/9/25,13233
2007/9/26,13135
2007/9/27,13087
2007/9/28,13032
2007/9/29,13023
2007/9/30,12990
2007/10/8,13037
2007/10/9,13133
2007/10/10,13153
2007/10/11,13205
2007/10/12,13225
2007/10/15,13230
2007/10/16,13294
2007/10/17,13371
2007/10/18,13400
2007/10/19,13469
2007/10/22,13532
2007/10/23,13555
2007/10/24,13578
2007/10/25,13577
2007/10/26,13563
2007/10/29,13546
2007/10/30,13536
2007/10/31,13536
2007/11/1,13512
2007/11/2,13517
2007/11/5,13519
2007/11/6,13548
